Feature,Healthy_Mean,CKD_Mean,P-value
HealthLiteracy,5.094438090379345,5.149449235177767,0.8637463296828054
SystolicBP,127.16296296296296,135.03280839895012,0.0006990987832788003
BUNLevels,23.57304614352523,27.932929963595246,0.00015428121456278324
MuscleCramps,2.8802679166274405,3.582666933458138,0.00011304380488040992
SerumElectrolytesSodium,139.65305232036567,139.9969699464398,0.17270005049826154
Itching,4.081051206780176,5.1411326216314785,4.053285528844513e-05
FastingBloodSugar,120.77710940584394,133.57048048297122,8.359775754424277e-05
ProteinInUrine,2.0554246332165516,2.5325629506440217,0.00024476995449894764
GFR,84.59290494556478,65.25564580706671,9.012539562540892e-13
SerumCreatinine,1.8633801151403602,2.8320202055678663,1.7567706327945876e-16
